,evid,pubtime,oritime,lat,lon,depth,magtype,mag,region,automan,net34,nsta,mdist,gap
0,807751,2019-11-26T02:59:00.000000,2019-11-26T02:54:10.500000,41.36,19.4,2.0,mb,6.3,ADRIATIC SEA,A,MIX,89,0.84,52
1,807751,2019-11-26T02:59:00.000000,2019-11-26T02:54:10.500000,41.36,19.4,2.0,mb,6.3,ADRIATIC SEA,A,MIX,89,0.84,52
2,807751,2019-11-26T02:59:00.000000,2019-11-26T02:54:10.500000,41.36,19.4,2.0,mb,6.3,ADRIATIC SEA,A,MIX,89,0.84,52
3,807751,2019-11-26T02:59:00.000000,2019-11-26T02:54:10.500000,41.36,19.4,2.0,mb,6.3,ADRIATIC SEA,A,MIX,89,0.84,52
4,807751,2019-11-26T02:59:00.000000,2019-11-26T02:54:10.500000,41.36,19.4,2.0,mb,6.3,ADRIATIC SEA,A,MIX,89,0.84,52
5,807751,2019-11-26T02:59:00.000000,2019-11-26T02:54:10.500000,41.36,19.4,2.0,mb,6.3,ADRIATIC SEA,A,MIX,89,0.84,52
6,807751,2019-11-26T03:03:00.000000,2019-11-26T02:54:10.400000,41.41,19.45,2.0,mb,6.3,ADRIATIC SEA,A,MIX,24,0.79,76
7,807751,2019-11-26T03:03:00.000000,2019-11-26T02:54:10.400000,41.41,19.45,2.0,mb,6.3,ADRIATIC SEA,A,MIX,24,0.79,76
8,807751,2019-11-26T03:03:00.000000,2019-11-26T02:54:10.400000,41.41,19.45,2.0,mb,6.3,ADRIATIC SEA,A,MIX,24,0.79,76
9,807751,2019-11-26T03:04:00.000000,2019-11-26T02:54:10.500000,41.44,19.43,2.0,mb,6.3,ADRIATIC SEA,M,CSEM,19,0.77,77
10,807751,2019-11-26T03:16:00.000000,2019-11-26T02:54:11.299999,41.45,19.44,10.0,Mw,6.4,ADRIATIC SEA,M,INFO,23,0.76,77
11,807751,2019-11-26T16:01:00.000000,2019-11-26T02:54:11.599999,41.38,19.47,10.0,Mw,6.4,ALBANIA,M,INFO,49,0.6,87
