,arrivetime,leavetime,longitude,latitude,country,region
0,2019-11-26 01:45:03.372,2019-11-26 01:46:03.493,-71.6197280883789,-35.4325485229492,usa,ca
1,2019-11-26 01:45:42.043,2019-11-26 01:46:42.226,-119.217708333333,34.1886805555556,usa,ca
2,2019-11-26 01:45:44.241,2019-11-26 01:46:44.905,-118.816464351841,35.391108065361,chn,bj
3,2019-11-26 01:45:45.694,2019-11-26 01:47:33.304,77.2832792,28.5674449,alb,11
4,2019-11-26 01:45:46.394,2019-11-26 01:46:47.202,20.9131042,41.9221346,usa,az
5,2019-11-26 01:45:51.081,2019-11-26 01:46:51.651,-121.718363890883,37.9292163353928,usa,mo
6,2019-11-26 01:45:52.983,2019-11-26 01:46:53.073,-117.24717,33.2319114,usa,wa
7,2019-11-26 01:46:02.617,2019-11-26 01:47:03.020,19.8292736,41.3182419,alb,11
8,2019-11-26 01:46:05.902,2019-11-26 01:47:26.482,-122.007736206055,37.0617027282715,usa,ca
9,2019-11-26 01:46:05.927,2019-11-26 01:47:06.052,88.3855079,26.7668176,ind,mh
10,2019-11-26 01:46:07.796,2019-11-26 01:47:07.885,-70.660285949707,-33.4208831787109,ind,mh
11,2019-11-26 01:46:20.432,2019-11-26 01:47:20.637,20.7370639876363,40.6778104531471,alb,11
12,2019-11-26 01:46:22.382,2019-11-26 01:47:35.929,19.8169237683259,41.3161953313409,alb,11
13,2019-11-26 01:46:24.418,2019-11-26 01:47:24.542,-84.3569641,33.5456207,usa,ga
14,2019-11-26 01:46:26.258,2019-11-26 01:47:26.382,19.4507268,41.3182148,usa,ga
15,2019-11-26 01:46:33.821,2019-11-26 01:47:56.714,105.7958038,21.0499934,swe,ab
16,2019-11-26 01:46:38.666,2019-11-26 01:47:39.147,19.5657425544812,41.1789989434735,alb,11
17,2019-11-26 01:46:42.004,2019-11-26 01:47:42.660,19.5132906352192,41.2935312401313,alb,11
18,2019-11-26 01:46:44.294,2019-11-26 01:47:44.643,19.841676712036,41.342353820801,alb,11
19,2019-11-26 01:46:44.298,2019-11-26 01:47:53.687,19.5424572,41.3694024,alb,11
20,2019-11-26 01:46:48.727,2019-11-26 01:47:49.136,19.8140506744385,41.3225288391113,alb,11
21,2019-11-26 01:46:53.718,2019-11-26 01:47:54.227,-84.8988304586055,39.0554350712708,tur,34
22,2019-11-26 01:47:13.840,2019-11-26 01:48:13.960,110.379188537598,-6.99871683120728,idn,jk
23,2019-11-26 01:47:22.232,2019-11-26 01:48:22.319,20.7016305,40.4084916,alb,11
24,2019-11-26 01:47:22.577,2019-11-26 01:48:22.700,16.8424816131592,40.9022178649902,usa,ca
25,2019-11-26 01:47:23.927,2019-11-26 01:48:24.060,20.9227142333984,41.9384346008301,mkd,19
26,2019-11-26 01:47:33.263,2019-11-26 01:48:33.355,19.4812545776367,41.3237457275391,alb,11
27,2019-11-26 01:47:42.209,2019-11-26 01:48:42.370,-122.559646606445,47.1644630432129,tha,10
28,2019-11-26 01:48:18.567,2019-11-26 01:50:14.397,19.8096506110679,41.3159903027696,alb,11
29,2019-11-26 01:48:18.914,2019-11-26 01:49:19.039,20.9098429,41.892566,mex,cmx
30,2019-11-26 01:48:19.808,2019-11-26 01:49:58.289,-43.3485778202327,-22.9922405176063,usa,wa
31,2019-11-26 01:48:20.416,2019-11-26 01:52:32.005,19.82499,41.3178253,alb,11
32,2019-11-26 01:48:20.596,2019-11-26 01:52:30.126,19.771949768066,41.361400604248,mkd,85
33,2019-11-26 01:48:20.832,2019-11-26 01:50:00.611,11.5680719700336,48.1287270690357,deu,by
34,2019-11-26 01:48:20.861,2019-11-26 01:50:35.208,19.8162776465294,41.3317365375844,alb,11
35,2019-11-26 01:48:20.917,2019-11-26 01:50:23.113,19.8130969062683,41.3162054458984,alb,11
36,2019-11-26 01:48:20.961,2019-11-26 01:50:18.951,19.8083369247386,41.3338523609973,alb,11
37,2019-11-26 01:48:22.015,2019-11-26 01:49:37.867,19.4431923444917,41.3195835947156,alb,11
38,2019-11-26 01:48:22.566,2019-11-26 01:52:30.237,19.831648,41.3494581,nld,zh
39,2019-11-26 01:48:22.884,2019-11-26 01:49:33.579,19.8038621191798,41.3417786522319,swe,ab
40,2019-11-26 01:48:23.180,2019-11-26 01:49:23.180,19.8368327853093,41.3464082509134,alb,11
41,2019-11-26 01:48:24.405,2019-11-26 01:49:37.457,19.8051155,41.32496,alb,11
42,2019-11-26 01:48:25.152,2019-11-26 01:49:39.794,19.7960337,41.3356343,alb,11
